"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 28 09:53:46 CST 2021","Tue Dec 28 09:53:46 CST 2021","69","TestCase","test_08_sports","","","","跳绳500个--预计消耗","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:47 CST 2021","Tue Dec 28 09:53:48 CST 2021","215","TestCase","test_08_sports","","","","跑步1分钟--预计消耗","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:45 CST 2021","Tue Dec 28 09:53:45 CST 2021","91","TestCase","test_07_homework","","","","班级作业详情","老师端班级作业详情"
"passed","Tue Dec 28 09:53:38 CST 2021","Tue Dec 28 09:53:38 CST 2021","65","TestCase","test_02_add_school","","","","校验学校名称是否重复","校验学校名称是否已经存在于系统内或数据库内，存在需要删除"
"passed","Tue Dec 28 09:53:50 CST 2021","Tue Dec 28 09:53:50 CST 2021","127","TestCase","test_08_sports","","","","运动能力","运动结束，运动能力"
"passed","Tue Dec 28 09:53:49 CST 2021","Tue Dec 28 09:53:49 CST 2021","171","TestCase","test_08_sports","","","","提交运动：自由跳绳500个，用时2分30秒","提交运动记录，包括计时、计数、自由模式的跳绳、跑步"
"passed","Tue Dec 28 09:53:46 CST 2021","Tue Dec 28 09:53:46 CST 2021","64","TestCase","test_08_sports","","","","跳绳2分钟--预计消耗","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:43 CST 2021","Tue Dec 28 09:53:43 CST 2021","95","TestCase","test_06_add_plan","","","","老师端调整计划顺序","老师端调整运动计划的顺序"
"passed","Tue Dec 28 09:53:50 CST 2021","Tue Dec 28 09:53:50 CST 2021","92","TestCase","test_08_sports","","","","获取运动视频","获取运动记录视频地址"
"passed","Tue Dec 28 09:53:43 CST 2021","Tue Dec 28 09:53:43 CST 2021","93","TestCase","test_06_add_plan","","","","老师端计划结束详情","老师端查看计划结束详情页面"
"passed","Tue Dec 28 09:53:44 CST 2021","Tue Dec 28 09:53:45 CST 2021","119","TestCase","test_07_homework","","","","学生端任务页首页作业完成进度","学生端查看任务首页，验证提交运动记录后作业完成进度是否大于0%"
"passed","Tue Dec 28 09:53:42 CST 2021","Tue Dec 28 09:53:42 CST 2021","130","TestCase","test_05_add_dailyGoals","","","","学生端提交运动：计数跑步","学生端提交运动记录，执行每日目标的任务"
"passed","Tue Dec 28 09:53:39 CST 2021","Tue Dec 28 09:53:39 CST 2021","131","TestCase","test_04_join_class","","","","学生入班申请接口","预设学生手机号登录后，提交入校申请，并且从数据库验证申请记录是否存在"
"passed","Tue Dec 28 09:53:46 CST 2021","Tue Dec 28 09:53:46 CST 2021","65","TestCase","test_08_sports","","","","跳绳300个--预计消耗","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:44 CST 2021","Tue Dec 28 09:53:44 CST 2021","151","TestCase","test_07_homework","","","","学生端提交作业：计时跳绳","学生端提交运动记录，执行家庭作业内容"
"passed","Tue Dec 28 09:53:50 CST 2021","Tue Dec 28 09:53:50 CST 2021","78","TestCase","test_08_sports","","","","逻辑删除运动视频记录","逻辑删除运动视频记录"
"passed","Tue Dec 28 09:53:47 CST 2021","Tue Dec 28 09:53:47 CST 2021","144","TestCase","test_08_sports","","","","跑步400m--预计消耗","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:38 CST 2021","Tue Dec 28 09:53:38 CST 2021","63","TestCase","test_02_add_school","","","","学校年级信息查询","查询学校详情信息，并且提取该学校的第一个年级grade_id"
"passed","Tue Dec 28 09:53:43 CST 2021","Tue Dec 28 09:53:43 CST 2021","66","TestCase","test_06_add_plan","","","","创建计划时的选择条件","创建计划时的计划选择条件是接口返回的"
"passed","Tue Dec 28 09:53:50 CST 2021","Tue Dec 28 09:53:50 CST 2021","144","TestCase","test_08_sports","","","","提交运动，提取响应报文中的recordId","提交运动记录，提取响应报文中的recordId"
"passed","Tue Dec 28 09:53:50 CST 2021","Tue Dec 28 09:53:50 CST 2021","80","TestCase","test_08_sports","","","","运动成绩","运动结束，运动成绩页面"
"passed","Tue Dec 28 09:53:45 CST 2021","Tue Dec 28 09:53:45 CST 2021","75","TestCase","test_07_homework","","","","老师端作业选择条件","老师端创建作业页面的作业选择条件"
"passed","Tue Dec 28 09:53:42 CST 2021","Tue Dec 28 09:53:43 CST 2021","98","TestCase","test_06_add_plan","","","","老师端根据计划Id获取计划信息","根据计划id获取计划信息，提取计划中单个计划的id和title"
"passed","Tue Dec 28 09:53:45 CST 2021","Tue Dec 28 09:53:45 CST 2021","73","TestCase","test_07_homework","","","","学生端作业记录详情","学生端查看作业记录详情"
"passed","Tue Dec 28 09:53:48 CST 2021","Tue Dec 28 09:53:48 CST 2021","174","TestCase","test_08_sports","","","","跑步3分钟--预计消耗","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:42 CST 2021","Tue Dec 28 09:53:42 CST 2021","111","TestCase","test_05_add_dailyGoals","","","","学生端提交运动：自由跑步","学生端提交运动记录，执行每日目标的任务"
"passed","Tue Dec 28 09:53:45 CST 2021","Tue Dec 28 09:53:45 CST 2021","65","TestCase","test_07_homework","","","","老师端我的班级--作业记录","老师端作业记录--我的班级"
"passed","Tue Dec 28 09:53:43 CST 2021","Tue Dec 28 09:53:44 CST 2021","119","TestCase","test_07_homework","","","","老师端创建作业--自动发布","老师端创建作业"
"passed","Tue Dec 28 09:53:39 CST 2021","Tue Dec 28 09:53:39 CST 2021","80","TestCase","test_03_join_school","","","","教师列表查询接口","web管理后台admin查询教师列表页面，是否存在通过申请的老师"
"passed","Tue Dec 28 09:53:44 CST 2021","Tue Dec 28 09:53:44 CST 2021","222","TestCase","test_07_homework","","","","老师端手动发布作业","老师端在作业模板页面，手动点击发布按钮发布作业"
"passed","Tue Dec 28 09:53:46 CST 2021","Tue Dec 28 09:53:46 CST 2021","66","TestCase","test_08_sports","","","","跳绳400个--预计消耗","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:46 CST 2021","Tue Dec 28 09:53:46 CST 2021","89","TestCase","test_08_sports","","","","跳绳4分钟--预计消耗","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:39 CST 2021","Tue Dec 28 09:53:39 CST 2021","140","TestCase","test_03_join_school","","","","更新教师审批状态接口","web管理后台admin更新教师申请状态为通过，并且通过查询数据库该申请记录，验证通过申请"
